created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 13:18:06 +0000 2024;1762829529591198016;"Dinkes Jabar: Nyamuk Wolbachia di Ujungberung Belum Berdampak https://t.co/1yh3jkT9LY";0;0;1;0;in;1318853792893300737;1762829529591198016;IDNTimesJabar;https://twitter.com/IDNTimesJabar/status/1762829529591198016
Wed Feb 28 01:16:58 +0000 2024;1762648052853358862;"@Marina_Ibrahims Bahaya denggi.... Mesti banyak tempat pembiakan nyamuk aedes... Kne usaha dapatkan nyamuk wolbachia bagi kurangkan populasi nyamuk aedes";0;0;0;0;in;1119463766075133952;1762321208358613309;Izman09198317;https://twitter.com/Izman09198317/status/1762648052853358862
Wed Feb 28 01:06:07 +0000 2024;1762645321233093026;"Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health";0;0;0;0;in;47596019;1762645321233093026;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1762645321233093026
Tue Feb 27 13:05:29 +0000 2024;1762463968646647972;"TVR 120 - Komisi IX DPR RI : Harus Ada Kajian Dalam Implementasi Wolbachia  Anggota Komisi IX DPR RI, Netty Prasetiyani meminta Pemerintah untuk melakukan kajian analisis risiko akibat dari implementasi teknologi Wolbachia  #TVRParlemen  #DPRRI #TVR120 https://t.co/72aWJYM4Xp";0;0;0;2;in;1389817105722187778;1762463968646647972;tvr_parlemen;https://twitter.com/tvr_parlemen/status/1762463968646647972
Tue Feb 27 11:54:46 +0000 2024;1762446170029425024;"TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6";0;0;0;0;in;68930552;1762446170029425024;mediaindonesia;https://twitter.com/mediaindonesia/status/1762446170029425024
Mon Feb 26 12:52:09 +0000 2024;1762098223026675905;"TVR 120 - Komisi IX DPR RI : Perkuat Sosialisasi Dan Kajian Metode Wolbachia  Kementerian Kesehatan telah mengembangkan inovasi pencegahan virus Demam Berdarah, melalui metode pengembakbiakan Bakteri Wolbachia.  #TVRParlemen #breakingnews #DPRRI #TVR120 https://t.co/rErOv1wHh5";0;0;0;2;in;1389817105722187778;1762098223026675905;tvr_parlemen;https://twitter.com/tvr_parlemen/status/1762098223026675905
Fri Feb 23 13:58:28 +0000 2024;1761027750503309663;"@inorii_yuzuriha Mana ada yg percaya kalo itu karena mRNA vacc😃.. kalo template disini mRNA itu malah bagus buat kesehatan, virus baik dan berkembang lebih baik. mirip2 Wolbachia lah 😃.. aman dan efektif";0;0;0;2;in;379823029;1761023269673787726;rickasun09;https://twitter.com/rickasun09/status/1761027750503309663
Fri Feb 23 11:47:17 +0000 2024;1760994734494065106;"@milkiewaygalaxy Tapi belom kepada nyamuk wolbachia yg artinya PERJALANAN MU BELUM SELESAI NAK, WOAHAHAJA";0;0;0;1;in;1736720738420490240;1760957262334710116;your_dream6969;https://twitter.com/your_dream6969/status/1760994734494065106
Fri Feb 23 09:24:54 +0000 2024;1760958903192572112;"TVR 120 - Komisi IX DPR RI : Kajian Analisis Risiko Diperlukan Dalam Implementasi Wolbachia  Implementasi teknologi Wolbachia menimbulkan dampak yaitu perubahan kualitas lingkungan, dan pergeseran penyakit.   #TVRParlemen #breakingnews #DPRRI #TVR120 https://t.co/YIeuDppsqV";0;0;0;3;in;1389817105722187778;1760958903192572112;tvr_parlemen;https://twitter.com/tvr_parlemen/status/1760958903192572112
Fri Feb 23 09:22:58 +0000 2024;1760958418414968972;"TVR 120- Komisi IX DPR RI : Libatkan Masyarakat Dalam Implementasi Wolbachia  Salah satu inovasi yang dilakukan pemerintah untuk menurunkan penyebaran demam berdarah dengue di Indonesia, adalah menerapkan teknologi nyamuk ber-wolbachia. #TVRParlemen #DPRRI https://t.co/RzROauGh5l";0;0;0;3;in;1389817105722187778;1760958418414968972;tvr_parlemen;https://twitter.com/tvr_parlemen/status/1760958418414968972
