created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 07 06:44:00 +0000 2024;1743886181501378694;"Bagi serangga, wolbachia adalah pandemi. Bakteri ini menginfeksi hingga 76 persen serangga di seluruh dunia. Selain itu, wolbachia juga ditemukan dalam jumlah besar di arthropoda selain invertebrata. https://t.co/PBehUjC9ka";0;0;0;2;in;483310591;1743886181501378694;MongabayID;https://twitter.com/MongabayID/status/1743886181501378694
Thu Dec 21 11:59:13 +0000 2023;1737804915408527391;"@KemenkesRI Yang bilang nyamuk Wolbachia berbahaya, mungkin belum pernah baca artikel ilmiahnya. Bakterinya nggak bisa bikin virus atau pandemi baru ko";0;0;0;0;in;1731961283246010368;1734208658626761025;dwiyantiiik;https://twitter.com/dwiyantiiik/status/1737804915408527391
Thu Dec 21 11:53:24 +0000 2023;1737803452754137369;"@KemenkesRI Yang bilang nyamuk Wolbachia berbahaya, mungkin belum pernah baca artikel ilmiahnya. Bakterinya nggak bisa bikin virus atau pandemi baru, kok.";0;0;0;0;in;1729006673992511489;1734208658626761025;jiharay16;https://twitter.com/jiharay16/status/1737803452754137369
Thu Dec 21 11:47:05 +0000 2023;1737801863867855224;"@KemenkesRI Nyamuk Wolbachia itu aman buat manusia, kok. Bakterinya nggak bisa bikin virus atau pandemi baru. Malah, bisa bantu kurangin populasi nyamuk Aedes aegypti.";0;0;0;0;in;1596148457328513031;1734208658626761025;GarvinSyukar;https://twitter.com/GarvinSyukar/status/1737801863867855224
Wed Dec 06 05:44:00 +0000 2023;1732274670752469413;"@tvOneNews Dari PBB aja sudah resmi kalo pandemi covid 19 sudah berakhir, kayanya pengalihan isu nyamuk Wolbachia ini mahh...";0;1;0;9;in;383349488;1732176044399173668;Muhamadbhasrhie;https://twitter.com/Muhamadbhasrhie/status/1732274670752469413
Sun Dec 03 06:32:00 +0000 2023;1731199586432389303;"Bagi serangga, wolbachia adalah pandemi. Bakteri ini menginfeksi hingga 76 persen serangga di seluruh dunia. Selain itu, wolbachia juga ditemukan dalam jumlah besar di arthropoda selain invertebrata. https://t.co/PBehUjC9ka";0;0;0;3;in;483310591;1731199586432389303;MongabayID;https://twitter.com/MongabayID/status/1731199586432389303
Thu Nov 30 08:22:56 +0000 2023;1730140341544841632;"Audiensi Gerakan Sehat Untuk Rakyat Indonesia dengan Badan Perencanaan Pembangunan Nasional @BappenasRI "terkait isu   Penyebaran 200 Juta Nyamuk Wolbachia &amp  Tolak Pandemi Treaty"  @m_mirah @AksiBuruh @MprAldo https://t.co/KfRimwfe1R";0;0;1;1;in;731579838625013760;1730140341544841632;Aspek_Indonesia;https://twitter.com/Aspek_Indonesia/status/1730140341544841632
Tue Nov 28 08:43:13 +0000 2023;1729420668985557106;"@LuckyLudjaina @Nurulkjo1 @MprAldo @m_mirah @Nicho_Silalahi Iya ujungnya mmg hrs vaksin. Krn bakteri Wolbachia ini efeknya menyebabkan radang otak (Japanese Encephalitis Virus). JEV ini dah mulai dipublish yg akhirnya akan diwajibkan utk mencegah penularan JEV. Jd penyakit DBD hilang penyakit radang otak mjd pandemi baru.";0;0;1;4;in;1365942073912815622;1729388306444791965;mindlipstick;https://twitter.com/mindlipstick/status/1729420668985557106
Tue Nov 28 06:34:37 +0000 2023;1729388306444791965;"Selasa, 28 Nov 2023. Aksi Menolak Penyebaran Nyamuk Wolbachia di dpn Kantor Kemenkes RI. Nyamuk yg direkayasa mjd Nyamuk Bionik sbg alat utk menciptakan Pandemi baru &amp  Depopulasi Manusia 2030. Tolak,Lawan !! Rakyat Indonesia Berhak Hidup Sehat. @MprAldo @m_mirah @Nicho_Silalahi https://t.co/SvJ0steJDw";16;16;318;566;in;1365942073912815622;1729388306444791965;mindlipstick;https://twitter.com/mindlipstick/status/1729388306444791965
Sun Nov 26 10:13:08 +0000 2023;1728718521579012350;"Cek Fakta: Nyamuk Wolbachia Bakal jadi Pandemi Kedua yang Lebih Bahaya dari Covid-19 https://t.co/FgB7P8AeH7";0;0;1;1;in;58880688;1728718521579012350;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1728718521579012350
Sun Nov 26 07:33:35 +0000 2023;1728678370114982279;"Nyamuk Wolbachia Bakal Menjadi Pandemi Kedua, Faktanya Seperti Ini https://t.co/2ZRjAgs95k #beritajogja #jogja #jogjaistimewa https://t.co/Ks4cFTeywX";0;0;0;1;in;118371948;1728678370114982279;Harian_Jogja;https://twitter.com/Harian_Jogja/status/1728678370114982279
