created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Feb 28 01:06:07 +0000 2024,1762645321233093026,Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health,0,0,0,0,in,47596019,1762645321233093026,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1762645321233093026
Tue Feb 27 11:54:46 +0000 2024,1762446170029425024,TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6,0,0,0,0,in,68930552,1762446170029425024,mediaindonesia,https://twitter.com/mediaindonesia/status/1762446170029425024
Tue Feb 20 12:38:40 +0000 2024,1759920505002598450,"@dayeyee coba cari nyamuk wolbachia, nyamuk anti dbd katanya",0,0,0,0,in,67613879,1759909073812926956,aksarapodo,https://twitter.com/aksarapodo/status/1759920505002598450
Sat Feb 17 09:11:00 +0000 2024,1758781080583405864,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1""",0,0,0,2,in,2449633968,1758781080583405864,alodokter,https://twitter.com/alodokter/status/1758781080583405864
Thu Feb 15 17:34:07 +0000 2024,1758182914813280552,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L",0,0,0,0,in,550812458,1758182914813280552,beritajabarid,https://twitter.com/beritajabarid/status/1758182914813280552
Thu Feb 08 16:48:44 +0000 2024,1755634780241359030,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79,0,0,0,0,in,1743123363974045696,1755634780241359030,lilaaple,https://twitter.com/lilaaple/status/1755634780241359030
Sat Feb 03 14:57:58 +0000 2024,1753794965929594943,"@sembarangae1111 Mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake""",0,2,3,10,in,1613929735020773376,1753772219019485320,TedInvestigasi,https://twitter.com/TedInvestigasi/status/1753794965929594943
Sat Feb 03 14:42:59 +0000 2024,1753791196411949416,@TedInvestigasi Apakah rakyat diharuskan ternak nyamuk Wolbachia utk cegah DBD? Padahal penyebabnya adalah tes polio.🤦,0,0,0,1,in,877173446,1753772219019485320,nic04722,https://twitter.com/nic04722/status/1753791196411949416
Sat Feb 03 11:05:10 +0000 2024,1753736380231098655,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi,1,1,1,2,in,58880688,1753736380231098655,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753736380231098655
Sat Feb 03 06:45:35 +0000 2024,1753671055825375452,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV,0,0,0,0,in,58880688,1753671055825375452,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753671055825375452
Sat Feb 03 04:16:35 +0000 2024,1753633556365205790,"Ancaman Lonjakan Kasus DBD di Bandung, Efek Pencegahan dari Nyamuk Wolbachia Belum Terasa https://t.co/ZMQGTrrng8",0,0,0,0,in,58880688,1753633556365205790,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753633556365205790
Sat Feb 03 00:31:01 +0000 2024,1753576792042954768,@inorii_yuzuriha @StopPlandemit @dokter_kampung @TedInvestigasi Kasus trombosit turun momen yg pas buat kampanye ternak nyamuk Wolbachia utk cegah tangkal DBD... Tuit inorii mencerdaskan orang banyak 👍👍👍,0,1,0,5,in,877173446,1753470259607343314,nic04722,https://twitter.com/nic04722/status/1753576792042954768
Fri Feb 02 14:36:35 +0000 2024,1753427195455025581,Pemprov Kaltim Atasi DBD dengan Penyebaran Nyamuk Wolbachia https://t.co/Ol9O0ul25m,0,0,0,0,in,456426648,1753427195455025581,merdekadotcom,https://twitter.com/merdekadotcom/status/1753427195455025581
Thu Feb 01 03:37:35 +0000 2024,1752898964666683732,"Seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? Yuk, swipe ke kiri gambar berikut hingga usai ya...  #ugm #fkkmkugm #tropmed #tropmedugm #wolbachia #dengue #DBD #dinaskesehatanbandung #kilasberitatropmed https://t.co/UCbsSLfWjG",0,0,0,0,in,1184330792224190465,1752898960409375086,centertropmed,https://twitter.com/centertropmed/status/1752898964666683732
Wed Jan 31 06:57:18 +0000 2024,1752586840232894548,"Yuk, klik link https://t.co/c9oYsZueb6 untuk mendapat jawabannya.  #theconversation #fkkmkugm #tropmed #tropmedugm #artikel #wolbachia #DBD #dengue #DemamBerdarah #WolbachiaNyamukBaik",0,0,0,0,in,1184330792224190465,1752586833882722553,centertropmed,https://twitter.com/centertropmed/status/1752586840232894548
Wed Jan 31 06:57:17 +0000 2024,1752586833882722553,"Kementerian Kesehatan RI telah memperluas teknologi Wolbachia untuk mengendalikan penyakit demam berdarah dengue (DBD) di lima kota di luar Yogyakarta yakni Semarang, Jakarta Barat, Bandung, Kupang, dan Bontang sejak Mei 2023. (cont) https://t.co/lvKYh1RQ4y",0,1,1,3,in,1184330792224190465,1752586833882722553,centertropmed,https://twitter.com/centertropmed/status/1752586833882722553
Tue Jan 30 12:18:23 +0000 2024,1752305254430060927,"Mengantisipasi DBD, Wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   Lebih aman, alami, dan gak pake intervensi anjuran si KillGates  Colek dokter ASN kesayangan @dokter_kampung",0,1,2,9,in,520900340,1752305254430060927,HadiNugrohoCoyy,https://twitter.com/HadiNugrohoCoyy/status/1752305254430060927
Tue Jan 30 00:43:25 +0000 2024,1752130358441914856,Wolbachia pelengkap pengendalian DBD: dua misinformasi perlu diluruskan https://t.co/JOtYciplar,0,0,0,0,in,1604473330936909824,1752130358441914856,wotasepur,https://twitter.com/wotasepur/status/1752130358441914856
Fri Jan 26 05:53:12 +0000 2024,1750758767447396580,"Terbukti Efektif Menekan DBD, Begini Sejarah Penyebaran Nyamuk Wolbachia di Sleman https://t.co/3kdpeuEbYG #beritajogja #jogja #jogjaistimewa https://t.co/npmp1OIYWn",0,0,1,1,in,118371948,1750758767447396580,Harian_Jogja,https://twitter.com/Harian_Jogja/status/1750758767447396580
Sat Jan 20 13:18:00 +0000 2024,1748696376895271403,"@elizabethlisa76 Habis kanker serviks, nyamuk Wolbachia buat tangkal DBD, lalu polio apalagi KLB selanjutnya? Demen banget bikin fearmongering...",0,0,0,4,in,877173446,1748666375915307206,nic04722,https://twitter.com/nic04722/status/1748696376895271403
Thu Jan 18 12:30:47 +0000 2024,1747959719216476320,KESEHATAN : Kemenkes Rencanakan Bangun Pabrik Telur Nyamuk Wolbachia demi Berantas DBD https://t.co/qWsfVcnmm3 | Withinnews - liputan6.,0,0,0,0,in,1636826702260195328,1747959719216476320,within_news,https://twitter.com/within_news/status/1747959719216476320
Thu Jan 18 07:58:53 +0000 2024,1747891292431061056,"Upaya Berantas DBD, Kemenkes Berencana Bangun Pabrik Telur Nyamuk Wolbachia https://t.co/ZGb8mBl32r",0,0,0,0,in,1497871452095139841,1747891292431061056,kaltenglima,https://twitter.com/kaltenglima/status/1747891292431061056
Wed Jan 17 07:57:39 +0000 2024,1747528598272290890,"Pusat Kedokteran Tropis (PKT) UGM bekerjasama dengan Perkumpulan Dokter Seluruh Indonesia (PDSI) akan mengadakan webinar yang mengangkat tema: “Wolbachia, Inovasi Cegah DBD Karya Anak Bangsa” https://t.co/KU2n2ct0L5",0,1,0,0,in,1184330792224190465,1747528598272290890,centertropmed,https://twitter.com/centertropmed/status/1747528598272290890
Tue Jan 16 11:10:55 +0000 2024,1747214844330459245,@AriesTruss Ibarat lawan DBD dengan nyamuk Wolbachia 🤣,0,0,0,0,in,877173446,1747141429368148060,nic04722,https://twitter.com/nic04722/status/1747214844330459245
Tue Jan 16 07:01:42 +0000 2024,1747152126302892134,"Sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk DBD di Wilayah Kecamatan Rancasari, 16 januari 2024   @rancasari_juara https://t.co/T2yKDzzw2E",0,1,0,0,in,1902848498,1747152126302892134,rancasari_OK,https://twitter.com/rancasari_OK/status/1747152126302892134
Tue Jan 16 04:05:10 +0000 2024,1747107701212217612,"Sahabat Pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab DBD - Wolbachia. Ini aman, efektif, dan ramah lingkungan 🌿🥰  #Wolbachia #MelawanDBD #AnakMudaBeraksi #PramitaLab #ProudlyServingYou #BeHealthy #Behappy #InfoKesehatan #Sehat https://t.co/P1oCWito9s",0,0,0,2,in,236226247,1747107701212217612,pramitalab_id,https://twitter.com/pramitalab_id/status/1747107701212217612
Thu Jan 11 03:17:52 +0000 2024,1745283859141587421,@tanyarlfes Nyamuk Wolbachia itu.  Emang disebar ke daerah2 buat menekan populasi nyamuk DBD.,0,1,0,0,in,1603391540717621249,1745282748682821932,megumi_akashi,https://twitter.com/megumi_akashi/status/1745283859141587421
Sat Jan 06 02:45:04 +0000 2024,1743463666643788259,"Sukses Tekan Kasus DBD, Masyarakat Diimbau Dukung Inovasi Nyamuk Wolbachia di Sulawesi Tenggara https://t.co/Aj3EySONjh",0,1,0,0,in,1234774867704049664,1743463666643788259,telisik_id,https://twitter.com/telisik_id/status/1743463666643788259
Tue Jan 02 15:54:34 +0000 2024,1742212798665654432,"Setelah sebelumnya rame Wolbachia"" tiba tiba DBD merajalela dimana mana. Padahal baru ada hujan di akhir akhir tahun dan itupun ga sering 🤔🤔🤔🤔""",0,0,0,0,in,1584097836827758593,1742212798665654432,ConfessionOfMen,https://twitter.com/ConfessionOfMen/status/1742212798665654432
Tue Dec 26 02:09:33 +0000 2023,1739468462643372080,[FOTO] Dapur Pengembangbiakan Nyamuk Wolbachia untuk DBD di Salatiga https://t.co/FROtDdojTt,0,2,1,1,in,1318855369641263105,1739468462643372080,IDNTimesJateng,https://twitter.com/IDNTimesJateng/status/1739468462643372080
Sun Dec 24 15:03:32 +0000 2023,1738938466245673157,"@anas_pnk90 Ngerasa nyamuknya jd lebih banyak akhir akhir ini, nyamuknya juga belang belang dirumah kaya nyamuk dbd apakah itu nyamuk wolbachia? Efeknya bekas gigitan nyamuk jd item item☹️",0,0,0,0,in,1204167090128637952,1738808155780555209,xyzeldkg,https://twitter.com/xyzeldkg/status/1738938466245673157
Thu Dec 21 13:12:58 +0000 2023,1737823473832190323,"@KemenkesRI Wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari DBD",0,0,0,0,in,1593928724478844929,1734208658626761025,shofiyablue,https://twitter.com/shofiyablue/status/1737823473832190323
Thu Dec 21 11:31:58 +0000 2023,1737798057570504953,"@KemenkesRI Wah, perkembangan Wolbachia di Jogja emang bagus banget! tetangga2 yang langganan DBD berkurang drastis. Jadi, sebenernya gak perlu ribut-ribut nyambungin dengan LGBT, yang penting kesehatan masyarakat menurutku",0,0,0,0,in,1608049675944460288,1734208658626761025,saki_lasaka,https://twitter.com/saki_lasaka/status/1737798057570504953
Thu Dec 21 09:11:57 +0000 2023,1737762820341846055,"@e100ss Misinformasi macam apa ini? Di Jogja penelitian nyamuk Wolbachia di UGM sudah berjalan dari kapan tau, ga ada yg heboh. Dan berhasil menurunkan jumlah DBD 🤣🤣🤣",0,0,0,0,in,1245685001108090881,1737322676069482634,ElioAglio,https://twitter.com/ElioAglio/status/1737762820341846055
