created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Feb 08 16:48:44 +0000 2024;1755634780241359030;"Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79";0;0;0;0;in;1743123363974045696;1755634780241359030;lilaaple;https://twitter.com/lilaaple/status/1755634780241359030
Sat Feb 03 14:57:58 +0000 2024;1753794965929594943;"@sembarangae1111 Mereka membutuhkan banyak "kasus" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake";0;2;3;10;in;1613929735020773376;1753772219019485320;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1753794965929594943
Sat Feb 03 14:42:59 +0000 2024;1753791196411949416;"@TedInvestigasi Apakah rakyat diharuskan ternak nyamuk Wolbachia utk cegah DBD? Padahal penyebabnya adalah tes polio.🤦";0;0;0;1;in;877173446;1753772219019485320;nic04722;https://twitter.com/nic04722/status/1753791196411949416
Sat Feb 03 11:05:25 +0000 2024;1753736443183473128;"Kepala Bidang Pencegahan dan Pengendalian Penyakit Dinas Kesehatan Jawa Barat, dr. Rochady Hendra Setya Wibawa, Sp.OG., M.Kes, mengatakan, efek nyamuk wolbachia tidak bisa dilihat dalam waktu dekat. . Menurutnya, proses pelepasan telur nyamuk yang mengandung bakteri wolbachia…";0;0;1;1;in;58880688;1753736380231098655;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1753736443183473128
Sat Feb 03 11:05:10 +0000 2024;1753736380231098655;"Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi";1;1;1;2;in;58880688;1753736380231098655;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1753736380231098655
Sat Feb 03 06:59:23 +0000 2024;1753674527777951874;"dok aku mau minta saran topik terkini di kedokteran buat dijadiin poster/infografis selain nyamuk wolbachia makasii";0;6;3;17;in;1426471735734411266;1753674527777951874;BaseAnakFK;https://twitter.com/BaseAnakFK/status/1753674527777951874
Sat Feb 03 06:45:35 +0000 2024;1753671055825375452;"Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV";0;0;0;0;in;58880688;1753671055825375452;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1753671055825375452
Sat Feb 03 06:22:04 +0000 2024;1753665136571892136;"@_yundaaaaa @tanyakanrl Apa kabar palestina Apa kabar rusia ukraina Apa kabar wabah virus X Apa kabar nyamuk wolbachia";0;0;0;1;in;1736720738420490240;1753630669199278482;your_dream6969;https://twitter.com/your_dream6969/status/1753665136571892136
Sat Feb 03 04:16:35 +0000 2024;1753633556365205790;"Ancaman Lonjakan Kasus DBD di Bandung, Efek Pencegahan dari Nyamuk Wolbachia Belum Terasa https://t.co/ZMQGTrrng8";0;0;0;0;in;58880688;1753633556365205790;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1753633556365205790
Sat Feb 03 00:31:01 +0000 2024;1753576792042954768;"@inorii_yuzuriha @StopPlandemit @dokter_kampung @TedInvestigasi Kasus trombosit turun momen yg pas buat kampanye ternak nyamuk Wolbachia utk cegah tangkal DBD... Tuit inorii mencerdaskan orang banyak 👍👍👍";0;1;0;5;in;877173446;1753470259607343314;nic04722;https://twitter.com/nic04722/status/1753576792042954768
