created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleaned_text
Wed Feb 28 01:06:07 +0000 2024,1762645321233093026,Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health,0,0,0,0,in,47596019,1762645321233093026,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1762645321233093026,ahli ajak masyarakat melihat teknologi wolbachia untuk lawan dbd dari sisi positif https://t.co/ckchss9ub3
Tue Feb 27 11:54:46 +0000 2024,1762446170029425024,TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6,0,0,0,0,in,68930552,1762446170029425024,mediaindonesia,https://twitter.com/mediaindonesia/status/1762446170029425024,teknologi wolbachia dianggap sebagai trobosan untuk pengentasan demam berdarah dengue (dbd) di hulu  https://t.co/qrosrergn6
Tue Feb 20 12:38:40 +0000 2024,1759920505002598450,"@dayeyee coba cari nyamuk wolbachia, nyamuk anti dbd katanya",0,0,0,0,in,67613879,1759909073812926956,aksarapodo,https://twitter.com/aksarapodo/status/1759920505002598450,"coba cari nyamuk wolbachia, nyamuk anti dbd katanya"
Sat Feb 17 09:11:00 +0000 2024,1758781080583405864,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1""",0,0,0,2,in,2449633968,1758781080583405864,alodokter,https://twitter.com/alodokter/status/1758781080583405864,"kok, bisa ada nyamuk yang mencegah dbd? bukannya nyamuk itu malah agen penyebar virus dengue?"" eits, siapa bilang! nyamuk ""baik"" ini namanya wolbachia, lho. daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. abi di video berikut ini! https://t.co/meastudux1"""
Thu Feb 15 17:34:07 +0000 2024,1758182914813280552,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L",0,0,0,0,in,550812458,1758182914813280552,beritajabarid,https://twitter.com/beritajabarid/status/1758182914813280552,"program penyebaran nyamuk wolbachia, langkah menuju pengendalian dbd https://t.co/6rdia47u1l"
Thu Feb 08 16:48:44 +0000 2024,1755634780241359030,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79,0,0,0,0,in,1743123363974045696,1755634780241359030,lilaaple,https://twitter.com/lilaaple/status/1755634780241359030,wolbachia sebagai upaya menekan khasus dbd.      https://t.co/9jxfw14l79
Sat Feb 03 14:57:58 +0000 2024,1753794965929594943,"@sembarangae1111 Mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake""",0,2,3,10,in,1613929735020773376,1753772219019485320,TedInvestigasi,https://twitter.com/TedInvestigasi/status/1753794965929594943,"mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi dbd. it's all fake"""
Sat Feb 03 14:42:59 +0000 2024,1753791196411949416,@TedInvestigasi Apakah rakyat diharuskan ternak nyamuk Wolbachia utk cegah DBD? Padahal penyebabnya adalah tes polio.🤦,0,0,0,1,in,877173446,1753772219019485320,nic04722,https://twitter.com/nic04722/status/1753791196411949416,apakah rakyat diharuskan ternak nyamuk wolbachia utk cegah dbd? padahal penyebabnya adalah tes polio.🤦
Sat Feb 03 11:05:10 +0000 2024,1753736380231098655,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi,1,1,1,2,in,58880688,1753736380231098655,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753736380231098655,kota bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh kementerian kesehatan pada november 2023. . tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (dbd). empat kota lainnya di indonesia yang menjalankan program itu… https://t.co/inaekh9iqi
Sat Feb 03 06:45:35 +0000 2024,1753671055825375452,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV,0,0,0,0,in,58880688,1753671055825375452,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753671055825375452,nyamuk wolbachia bermanfaat cegah dbd tapi banyak masyarakat yang tak percaya https://t.co/tq3vwv67hv
