created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleaned_text
Wed Feb 28 13:18:06 +0000 2024,1762829529591198016,Dinkes Jabar: Nyamuk Wolbachia di Ujungberung Belum Berdampak https://t.co/1yh3jkT9LY,0,0,1,0,in,1318853792893300737,1762829529591198016,IDNTimesJabar,https://twitter.com/IDNTimesJabar/status/1762829529591198016,dinkes jabar: nyamuk wolbachia di ujungberung belum berdampak
Sat Feb 24 10:21:00 +0000 2024,1761335409773060287,Alamaaakk.....baru lht ada burger nyamuk😩😭  Kbyang nih psti saking banyaknya populasi nyamuk smpe bsa dbkin burger...🥴  Peternakan Wolbachia lewat ini mah😂😂 https://t.co/kNOT2PnWBw,0,0,0,5,in,1496834181279612933,1761335409773060287,mulkanjabariyan,https://twitter.com/mulkanjabariyan/status/1761335409773060287,alamaaakk.....baru lht ada burger nyamuk😩😭  kbyang nih psti saking banyaknya populasi nyamuk smpe bsa dbkin burger...🥴  peternakan wolbachia lewat ini mah😂😂
Fri Feb 23 09:22:58 +0000 2024,1760958418414968972,"TVR 120- Komisi IX DPR RI : Libatkan Masyarakat Dalam Implementasi Wolbachia  Salah satu inovasi yang dilakukan pemerintah untuk menurunkan penyebaran demam berdarah dengue di Indonesia, adalah menerapkan teknologi nyamuk ber-wolbachia. #TVRParlemen #DPRRI https://t.co/RzROauGh5l",0,0,0,3,in,1389817105722187778,1760958418414968972,tvr_parlemen,https://twitter.com/tvr_parlemen/status/1760958418414968972,"tvr 120- komisi ix dpr ri : libatkan masyarakat dalam implementasi wolbachia  salah satu inovasi yang dilakukan pemerintah untuk menurunkan penyebaran demam berdarah dengue di indonesia, adalah menerapkan teknologi nyamuk ber-wolbachia."
Thu Feb 22 03:06:10 +0000 2024,1760501206311682125,Singapura perluas projek nyamuk Wolbachia perangi denggi https://t.co/XlXSPgd2X3 #AsiaTenggara #LUARNEGARA #TERKINI,0,0,0,0,in,42199532,1760501206311682125,UMonline,https://twitter.com/UMonline/status/1760501206311682125,singapura perluas projek nyamuk wolbachia perangi denggi
Sat Feb 17 09:11:00 +0000 2024,1758781080583405864,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1""",0,0,0,2,in,2449633968,1758781080583405864,alodokter,https://twitter.com/alodokter/status/1758781080583405864,"kok, bisa ada nyamuk yang mencegah dbd? bukannya nyamuk itu malah agen penyebar virus dengue?"" eits, siapa bilang! nyamuk ""baik"" ini namanya wolbachia, lho. daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. abi di video berikut ini!"
Thu Feb 15 17:34:07 +0000 2024,1758182914813280552,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L",0,0,0,0,in,550812458,1758182914813280552,beritajabarid,https://twitter.com/beritajabarid/status/1758182914813280552,"program penyebaran nyamuk wolbachia, langkah menuju pengendalian dbd"
Thu Feb 08 16:48:44 +0000 2024,1755634780241359030,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79,0,0,0,0,in,1743123363974045696,1755634780241359030,lilaaple,https://twitter.com/lilaaple/status/1755634780241359030,wolbachia sebagai upaya menekan khasus dbd.
Sat Feb 03 11:05:10 +0000 2024,1753736380231098655,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi,1,1,1,2,in,58880688,1753736380231098655,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753736380231098655,kota bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh kementerian kesehatan pada november 2023. . tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (dbd). empat kota lainnya di indonesia yang menjalankan program itu…
Sat Feb 03 06:45:35 +0000 2024,1753671055825375452,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV,0,0,0,0,in,58880688,1753671055825375452,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753671055825375452,nyamuk wolbachia bermanfaat cegah dbd tapi banyak masyarakat yang tak percaya
Sat Feb 03 04:16:35 +0000 2024,1753633556365205790,"Ancaman Lonjakan Kasus DBD di Bandung, Efek Pencegahan dari Nyamuk Wolbachia Belum Terasa https://t.co/ZMQGTrrng8",0,0,0,0,in,58880688,1753633556365205790,pikiran_rakyat,https://twitter.com/pikiran_rakyat/status/1753633556365205790,"ancaman lonjakan kasus dbd di bandung, efek pencegahan dari nyamuk wolbachia belum terasa"
