id_text,Status,cleaned_text_x,tweet_url,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,cleaned_text_y
1,Fact,ahli ajak masyarakat melihat teknologi wolbachia untuk lawan dbd dari sisi positif https://t.co/ckchss9ub3,https://twitter.com/liputan6dotcom/status/1762645321233093026,Wed Feb 28 01:06:07 +0000 2024,1762645321233093026,Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health,0,0,0,0,in,47596019,1762645321233093026,liputan6dotcom,ahli ajak masyarakat melihat teknologi wolbachia untuk lawan dbd dari sisi positif https://t.co/ckchss9ub3
2,Fact,teknologi wolbachia dianggap sebagai trobosan untuk pengentasan demam berdarah dengue (dbd) di hulu  https://t.co/qrosrergn6,https://twitter.com/mediaindonesia/status/1762446170029425024,Tue Feb 27 11:54:46 +0000 2024,1762446170029425024,TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6,0,0,0,0,in,68930552,1762446170029425024,mediaindonesia,teknologi wolbachia dianggap sebagai trobosan untuk pengentasan demam berdarah dengue (dbd) di hulu  https://t.co/qrosrergn6
3,Unverified,"coba cari nyamuk wolbachia, nyamuk anti dbd katanya",https://twitter.com/aksarapodo/status/1759920505002598450,Tue Feb 20 12:38:40 +0000 2024,1759920505002598450,"@dayeyee coba cari nyamuk wolbachia, nyamuk anti dbd katanya",0,0,0,0,in,67613879,1759909073812926956,aksarapodo,"coba cari nyamuk wolbachia, nyamuk anti dbd katanya"
4,Fact,"kok, bisa ada nyamuk yang mencegah dbd? bukannya nyamuk itu malah agen penyebar virus dengue?"" eits, siapa bilang! nyamuk ""baik"" ini namanya wolbachia, lho. daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. abi di video berikut ini! https://t.co/meastudux1""",https://twitter.com/alodokter/status/1758781080583405864,Sat Feb 17 09:11:00 +0000 2024,1758781080583405864,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1""",0,0,0,2,in,2449633968,1758781080583405864,alodokter,"kok, bisa ada nyamuk yang mencegah dbd? bukannya nyamuk itu malah agen penyebar virus dengue?"" eits, siapa bilang! nyamuk ""baik"" ini namanya wolbachia, lho. daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. abi di video berikut ini! https://t.co/meastudux1"""
5,Fact,"program penyebaran nyamuk wolbachia, langkah menuju pengendalian dbd https://t.co/6rdia47u1l",https://twitter.com/beritajabarid/status/1758182914813280552,Thu Feb 15 17:34:07 +0000 2024,1758182914813280552,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L",0,0,0,0,in,550812458,1758182914813280552,beritajabarid,"program penyebaran nyamuk wolbachia, langkah menuju pengendalian dbd https://t.co/6rdia47u1l"
6,Fact,wolbachia sebagai upaya menekan khasus dbd.      https://t.co/9jxfw14l79,https://twitter.com/lilaaple/status/1755634780241359030,Thu Feb 08 16:48:44 +0000 2024,1755634780241359030,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79,0,0,0,0,in,1743123363974045696,1755634780241359030,lilaaple,wolbachia sebagai upaya menekan khasus dbd.      https://t.co/9jxfw14l79
7,Fake,"mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi dbd. it's all fake""",https://twitter.com/TedInvestigasi/status/1753794965929594943,Sat Feb 03 14:57:58 +0000 2024,1753794965929594943,"@sembarangae1111 Mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake""",0,2,3,10,in,1613929735020773376,1753772219019485320,TedInvestigasi,"mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi dbd. it's all fake"""
8,Unverified,apakah rakyat diharuskan ternak nyamuk wolbachia utk cegah dbd? padahal penyebabnya adalah tes polio.🤦,https://twitter.com/nic04722/status/1753791196411949416,Sat Feb 03 14:42:59 +0000 2024,1753791196411949416,@TedInvestigasi Apakah rakyat diharuskan ternak nyamuk Wolbachia utk cegah DBD? Padahal penyebabnya adalah tes polio.🤦,0,0,0,1,in,877173446,1753772219019485320,nic04722,apakah rakyat diharuskan ternak nyamuk wolbachia utk cegah dbd? padahal penyebabnya adalah tes polio.🤦
9,Fact,kota bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh kementerian kesehatan pada november 2023. . tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (dbd). empat kota lainnya di indonesia yang menjalankan program itu… https://t.co/inaekh9iqi,https://twitter.com/pikiran_rakyat/status/1753736380231098655,Sat Feb 03 11:05:10 +0000 2024,1753736380231098655,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi,1,1,1,2,in,58880688,1753736380231098655,pikiran_rakyat,kota bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh kementerian kesehatan pada november 2023. . tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (dbd). empat kota lainnya di indonesia yang menjalankan program itu… https://t.co/inaekh9iqi
10,Fact,nyamuk wolbachia bermanfaat cegah dbd tapi banyak masyarakat yang tak percaya https://t.co/tq3vwv67hv,https://twitter.com/pikiran_rakyat/status/1753671055825375452,Sat Feb 03 06:45:35 +0000 2024,1753671055825375452,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV,0,0,0,0,in,58880688,1753671055825375452,pikiran_rakyat,nyamuk wolbachia bermanfaat cegah dbd tapi banyak masyarakat yang tak percaya https://t.co/tq3vwv67hv
11,Unverified,kasus trombosit turun momen yg pas buat kampanye ternak nyamuk wolbachia utk cegah tangkal dbd... tuit inorii mencerdaskan orang banyak 👍👍👍,https://twitter.com/nic04722/status/1753576792042954768,Sat Feb 03 00:31:01 +0000 2024,1753576792042954768,@inorii_yuzuriha @StopPlandemit @dokter_kampung @TedInvestigasi Kasus trombosit turun momen yg pas buat kampanye ternak nyamuk Wolbachia utk cegah tangkal DBD... Tuit inorii mencerdaskan orang banyak 👍👍👍,0,1,0,5,in,877173446,1753470259607343314,nic04722,kasus trombosit turun momen yg pas buat kampanye ternak nyamuk wolbachia utk cegah tangkal dbd... tuit inorii mencerdaskan orang banyak 👍👍👍
12,Fact,pemprov kaltim atasi dbd dengan penyebaran nyamuk wolbachia https://t.co/ol9o0ul25m,https://twitter.com/merdekadotcom/status/1753427195455025581,Fri Feb 02 14:36:35 +0000 2024,1753427195455025581,Pemprov Kaltim Atasi DBD dengan Penyebaran Nyamuk Wolbachia https://t.co/Ol9O0ul25m,0,0,0,0,in,456426648,1753427195455025581,merdekadotcom,pemprov kaltim atasi dbd dengan penyebaran nyamuk wolbachia https://t.co/ol9o0ul25m
13,Fact,"seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? yuk, swipe ke kiri gambar berikut hingga usai ya...           https://t.co/ucbsslfwjg",https://twitter.com/centertropmed/status/1752898964666683732,Thu Feb 01 03:37:35 +0000 2024,1752898964666683732,"Seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? Yuk, swipe ke kiri gambar berikut hingga usai ya...  #ugm #fkkmkugm #tropmed #tropmedugm #wolbachia #dengue #DBD #dinaskesehatanbandung #kilasberitatropmed https://t.co/UCbsSLfWjG",0,0,0,0,in,1184330792224190465,1752898960409375086,centertropmed,"seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? yuk, swipe ke kiri gambar berikut hingga usai ya...           https://t.co/ucbsslfwjg"
