label,full_text,preprocessed_column
1,Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health,ahli ajak masyarakat teknologi wolbachia lawan dbd sisi positif
1,TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6,teknologi wolbachia anggap trobosan entas demam darah dengue dbd hulu
1,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1""",nyamuk cegah dbd nyamuk agen sebar virus dengue eits bilang nyamuk nama wolbachia lho penasaran langsung aja yuk dengar jelas dr abi video
1,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L",program sebar nyamuk wolbachia langkah kendali dbd
1,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79,wolbachia upaya tekan khasus dbd
0,"@sembarangae1111 Mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake""",butuh benar nyamuk wolbachia vaksinasi dbd its all fake
1,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi,kota bandung salah kota jalan program sebar nyamuk wolbachia menteri sehat november 2023 tuju sebar nyamuk wolbachia cegah demam darah dengue dbd kota indonesia jalan program
1,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV,nyamuk wolbachia manfaat cegah dbd masyarakat percaya
1,Pemprov Kaltim Atasi DBD dengan Penyebaran Nyamuk Wolbachia https://t.co/Ol9O0ul25m,pemprov kaltim atas dbd sebar nyamuk wolbachia
1,"Seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? Yuk, swipe ke kiri gambar berikut hingga usai ya...  #ugm #fkkmkugm #tropmed #tropmedugm #wolbachia #dengue #DBD #dinaskesehatanbandung #kilasberitatropmed https://t.co/UCbsSLfWjG",kunjung lokasi yuk swipe kiri gambar ya
1,"Kementerian Kesehatan RI telah memperluas teknologi Wolbachia untuk mengendalikan penyakit demam berdarah dengue (DBD) di lima kota di luar Yogyakarta yakni Semarang, Jakarta Barat, Bandung, Kupang, dan Bontang sejak Mei 2023. (cont) https://t.co/lvKYh1RQ4y",menteri sehat ri luas teknologi wolbachia kendali sakit demam darah dengue dbd kota yogyakarta semarang jakarta barat bandung kupang bontang mei 2023 cont
1,"Mengantisipasi DBD, Wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   Lebih aman, alami, dan gak pake intervensi anjuran si KillGates  Colek dokter ASN kesayangan @dokter_kampung",antisipasi dbd wolbachia sakit zoonosis yg sebab nyamuk aman alami gak pake intervensi anjur si killgates colek dokter asn sayang
1,Wolbachia pelengkap pengendalian DBD: dua misinformasi perlu diluruskan https://t.co/JOtYciplar,wolbachia lengkap kendali dbd misinformasi lurus
1,"Terbukti Efektif Menekan DBD, Begini Sejarah Penyebaran Nyamuk Wolbachia di Sleman https://t.co/3kdpeuEbYG #beritajogja #jogja #jogjaistimewa https://t.co/npmp1OIYWn",bukti efektif tekan dbd sejarah sebar nyamuk wolbachia sleman
1,KESEHATAN : Kemenkes Rencanakan Bangun Pabrik Telur Nyamuk Wolbachia demi Berantas DBD https://t.co/qWsfVcnmm3 | Withinnews - liputan6.,sehat kemenkes rencana bangun pabrik telur nyamuk wolbachia berantas dbd withinnews liputan6
1,"Upaya Berantas DBD, Kemenkes Berencana Bangun Pabrik Telur Nyamuk Wolbachia https://t.co/ZGb8mBl32r",upaya berantas dbd kemenkes rencana bangun pabrik telur nyamuk wolbachia
1,"Pusat Kedokteran Tropis (PKT) UGM bekerjasama dengan Perkumpulan Dokter Seluruh Indonesia (PDSI) akan mengadakan webinar yang mengangkat tema: “Wolbachia, Inovasi Cegah DBD Karya Anak Bangsa” https://t.co/KU2n2ct0L5",pusat dokter tropis pkt ugm bekerjasama kumpul dokter indonesia pdsi ada webinar angkat tema wolbachia inovasi cegah dbd karya anak bangsa
1,"Sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk DBD di Wilayah Kecamatan Rancasari, 16 januari 2024   @rancasari_juara https://t.co/T2yKDzzw2E",sosialisasi program sebar nyamuk wolbachia 2024 tuju bentuk jenis nyamuk tuntas nyamuk dbd wilayah camat rancasari 16 januari 2024
1,"Sahabat Pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab DBD - Wolbachia. Ini aman, efektif, dan ramah lingkungan 🌿🥰  #Wolbachia #MelawanDBD #AnakMudaBeraksi #PramitaLab #ProudlyServingYou #BeHealthy #Behappy #InfoKesehatan #Sehat https://t.co/P1oCWito9s",sahabat pramita yuk bahas inovasi hebat atas nyamuk sebab dbd wolbachia aman efektif ramah lingkung
1,@tanyarlfes Nyamuk Wolbachia itu.  Emang disebar ke daerah2 buat menekan populasi nyamuk DBD.,nyamuk wolbachia emang sebar daerah2 tekan populasi nyamuk dbd
1,"Sukses Tekan Kasus DBD, Masyarakat Diimbau Dukung Inovasi Nyamuk Wolbachia di Sulawesi Tenggara https://t.co/Aj3EySONjh",sukses tekan dbd masyarakat imbau dukung inovasi nyamuk wolbachia sulawesi tenggara
1,[FOTO] Dapur Pengembangbiakan Nyamuk Wolbachia untuk DBD di Salatiga https://t.co/FROtDdojTt,foto dapur pengembangbiakan nyamuk wolbachia dbd salatiga
1,"@KemenkesRI Wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari DBD",wolbachia tu emang udah teliti udah coba negara hasil bagus nanganin nyamuk bawa virus dbd smoga bebassssss dbd
1,"@KemenkesRI Wah, perkembangan Wolbachia di Jogja emang bagus banget! tetangga2 yang langganan DBD berkurang drastis. Jadi, sebenernya gak perlu ribut-ribut nyambungin dengan LGBT, yang penting kesehatan masyarakat menurutku",kembang wolbachia jogja emang bagus banget tetangga2 langgan dbd kurang drastis sebenernya gak ributribut nyambungin lgbt sehat masyarakat turut
1,"@e100ss Misinformasi macam apa ini? Di Jogja penelitian nyamuk Wolbachia di UGM sudah berjalan dari kapan tau, ga ada yg heboh. Dan berhasil menurunkan jumlah DBD 🤣🤣🤣",misinformasi jogja teliti nyamuk wolbachia ugm jalan tau ga yg heboh hasil turun dbd
1,"@KemenkesRI setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas DBD, no debate!",nonton video gw sadar wolbachia bener2 cipta ubah positif utk berantas dbd no debate
1,@KemenkesRI cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa DBD,cool wolbachia program yg efektif lawan nyamuk bawa dbd
1,@KemenkesRI Gw optimis kalau wolbachia ini bisa sukses nurunin Dbd lanjutkan!,gw optimis wolbachia sukses nurunin dbd lanjut
1,"@KemenkesRI thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia",thank you min konten yg manfaat tuju dg program yg manfaat mari musnah dbd dg wolbachia
1,"@KemenkesRI digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya",gigit wolbachia gatel dikit kalo dbd gigit cmn gatel trombosit turun demam bahaya bgt gas program cepat
1,@KemenkesRI welcome wolbachia! semangat memerangi dbd di muka bumi ini,welcome wolbachia semangat rang dbd muka bumi
1,"@KemenkesRI Aku baca beberapa berita dari google,  Wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd",baca berita google wolbachia bukti efektif banget turun wabah sakit dbd
1,"@KemenkesRI bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa DBD, wow!",benerbener amazing sih program wolbachia ngendaliin populasi nyamuk bawa dbd wow
1,@KemenkesRI nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia,nice info sy dukung perintah utk usaha tekan laju sakit bahaya spti dbd program wolbachia
1,"Mengenal Inovasi Nyamuk Wolbachia yang Disebut Solusi untuk Kendalikan DBD, Benarkah Efektif? https://t.co/YRdB0vyChx",kenal inovasi nyamuk wolbachia solusi kendali dbd efektif
1,"@KemenkesRI gila si kalau wolbachia dijalankan dg baik di Indo, pasti ga ada lagi tuh yg namanya wabah dbd",gila si wolbachia jalan dg indo ga tuh yg nama wabah dbd
1,"@KemenkesRI pengen banget dbd bebas dan ga ada lagi dilingkungan sekitar gue, semoga wolbachia bisa bantuin biar generasi selanjutnya sehat dan bebas dari dbd",ken banget dbd bebas ga lingkung gue moga wolbachia bantuin biar generasi sehat bebas dbd
1,"@KemenkesRI aku org asli jogja emang ngerasain si gmn dulu maraknya dbd sampe skrg udh jarang kedenger lagi wabah dbd, wolbachia fully recommended",org asli jogja emang ngerasain si gmn marak dbd sampe skrg udh jarang kedenger wabah dbd wolbachia fully recommended
1,"@KemenkesRI Ayo gaes ,kita kudu menyerap informasi ini dengan baik ,ingat ,ini wolbachia bantuan kita terhindar dari DBD loh!",ayo gaes kudu serap informasi wolbachia bantu hindar dbd loh
