Status,full_text
Fact,Ahli Ajak Masyarakat Melihat Teknologi Wolbachia untuk Lawan DBD dari Sisi Positif https://t.co/cKCHSS9uB3 #Health
Fact,TEKNOLOGI wolbachia dianggap sebagai trobosan untuk pengentasan Demam Berdarah Dengue (DBD) di hulu  https://t.co/qRosrERgn6
Fact,"Kok, bisa ada nyamuk yang mencegah DBD? Bukannya nyamuk itu malah agen penyebar virus Dengue?"" Eits, siapa bilang! Nyamuk ""baik"" ini namanya wolbachia, lho. Daripada penasaran, langsung aja yuk, dengar penjelasan dari dr. Abi di video berikut ini! https://t.co/MeAStuDux1"""
Fact,"Program Penyebaran Nyamuk Wolbachia, Langkah Menuju Pengendalian DBD https://t.co/6RdiA47u1L"
Fact,Wolbachia sebagai upaya menekan khasus DBD.  #nyamukwolbachia #wolbachia #indonesiabebasdbd #aedesaegypti https://t.co/9JXFW14l79
Fake,"@sembarangae1111 Mereka membutuhkan banyak kasus"" untuk membenarkan nyamuk wolbachia dan vaksinasi DBD. It's all fake"""
Fact,Kota Bandung termasuk salah satu kota yang menjalankan program penyebaran nyamuk wolbachia oleh Kementerian Kesehatan pada November 2023. . Tujuan penyebaran nyamuk wolbachia adalah mencegah demam berdarah dengue (DBD). Empat kota lainnya di Indonesia yang menjalankan program itu… https://t.co/INaEkH9Iqi
Fact,Nyamuk Wolbachia Bermanfaat Cegah DBD tapi Banyak Masyarakat yang Tak Percaya https://t.co/tq3vWV67HV
Fact,Pemprov Kaltim Atasi DBD dengan Penyebaran Nyamuk Wolbachia https://t.co/Ol9O0ul25m
Fact,"Seperti apa kunjungan yang dilakukan dan di mana saja lokasinya? Yuk, swipe ke kiri gambar berikut hingga usai ya...  #ugm #fkkmkugm #tropmed #tropmedugm #wolbachia #dengue #DBD #dinaskesehatanbandung #kilasberitatropmed https://t.co/UCbsSLfWjG"
Fact,"Kementerian Kesehatan RI telah memperluas teknologi Wolbachia untuk mengendalikan penyakit demam berdarah dengue (DBD) di lima kota di luar Yogyakarta yakni Semarang, Jakarta Barat, Bandung, Kupang, dan Bontang sejak Mei 2023. (cont) https://t.co/lvKYh1RQ4y"
Fact,"Mengantisipasi DBD, Wolbachia, dan penyakit zoonosis lain yg disebabkan oleh nyamuk.   Lebih aman, alami, dan gak pake intervensi anjuran si KillGates  Colek dokter ASN kesayangan @dokter_kampung"
Fact,Wolbachia pelengkap pengendalian DBD: dua misinformasi perlu diluruskan https://t.co/JOtYciplar
Fact,"Terbukti Efektif Menekan DBD, Begini Sejarah Penyebaran Nyamuk Wolbachia di Sleman https://t.co/3kdpeuEbYG #beritajogja #jogja #jogjaistimewa https://t.co/npmp1OIYWn"
Fact,KESEHATAN : Kemenkes Rencanakan Bangun Pabrik Telur Nyamuk Wolbachia demi Berantas DBD https://t.co/qWsfVcnmm3 | Withinnews - liputan6.
Fact,"Upaya Berantas DBD, Kemenkes Berencana Bangun Pabrik Telur Nyamuk Wolbachia https://t.co/ZGb8mBl32r"
Fact,"Pusat Kedokteran Tropis (PKT) UGM bekerjasama dengan Perkumpulan Dokter Seluruh Indonesia (PDSI) akan mengadakan webinar yang mengangkat tema: “Wolbachia, Inovasi Cegah DBD Karya Anak Bangsa” https://t.co/KU2n2ct0L5"
Fact,"Sosialisasi program penyebaran nyamuk wolbachia di tahun 2024, dengan tujuan untuk membentuk jenis nyamuk baru guna menuntaskan nyamuk DBD di Wilayah Kecamatan Rancasari, 16 januari 2024   @rancasari_juara https://t.co/T2yKDzzw2E"
Fact,"Sahabat Pramita yuk bahas inovasi hebat dalam mengatasi nyamuk penyebab DBD - Wolbachia. Ini aman, efektif, dan ramah lingkungan 🌿🥰  #Wolbachia #MelawanDBD #AnakMudaBeraksi #PramitaLab #ProudlyServingYou #BeHealthy #Behappy #InfoKesehatan #Sehat https://t.co/P1oCWito9s"
Fact,@tanyarlfes Nyamuk Wolbachia itu.  Emang disebar ke daerah2 buat menekan populasi nyamuk DBD.
Fact,"Sukses Tekan Kasus DBD, Masyarakat Diimbau Dukung Inovasi Nyamuk Wolbachia di Sulawesi Tenggara https://t.co/Aj3EySONjh"
Fact,[FOTO] Dapur Pengembangbiakan Nyamuk Wolbachia untuk DBD di Salatiga https://t.co/FROtDdojTt
Fact,"@KemenkesRI Wolbachia tu emang udah banyak diteliti, udah dicoba di berbagai negara dan hasilnya bagus buat nanganin nyamuk yang bawa  virus dbd..  smoga kita bebassssss dari DBD"
Fact,"@KemenkesRI Wah, perkembangan Wolbachia di Jogja emang bagus banget! tetangga2 yang langganan DBD berkurang drastis. Jadi, sebenernya gak perlu ribut-ribut nyambungin dengan LGBT, yang penting kesehatan masyarakat menurutku"
Fact,"@e100ss Misinformasi macam apa ini? Di Jogja penelitian nyamuk Wolbachia di UGM sudah berjalan dari kapan tau, ga ada yg heboh. Dan berhasil menurunkan jumlah DBD 🤣🤣🤣"
Fact,"@KemenkesRI setelah nonton videonya, gw sadar bahwa wolbachia ini bener2 menciptakan perubahan yang positif utk memberantas DBD, no debate!"
Fact,@KemenkesRI cool! wolbachia bisa jadi program yg efektif melawan nyamuk pembawa DBD
Fact,@KemenkesRI Gw optimis kalau wolbachia ini bisa sukses nurunin Dbd lanjutkan!
Fact,"@KemenkesRI thank you min atas konten yg bermanfaat, kami semua setuju dg program yg bermanfaat ini, mari musnahkan dbd dg wolbachia"
Fact,"@KemenkesRI digigit wolbachia cuma gatel dikit, kalo dbd digigit bukan cmn gatel, bahkan trombosit turun dan demam, bahaya bgt :( gaslah program ini secepatnya"
Fact,@KemenkesRI welcome wolbachia! semangat memerangi dbd di muka bumi ini
Fact,"@KemenkesRI Aku baca beberapa berita dari google,  Wolbachia memang terbukti efektif banget buat menurunkan wabah penyakit dbd"
Fact,"@KemenkesRI bener-bener amazing sih program wolbachia ini, dia bisa ngendaliin populasi nyamuk pembawa DBD, wow!"
Fact,@KemenkesRI nice info! sy dukung pemerintah utk terus berusaha menekan laju penyakit berbahaya spti dbd lewat program wolbachia
Fact,"Mengenal Inovasi Nyamuk Wolbachia yang Disebut Solusi untuk Kendalikan DBD, Benarkah Efektif? https://t.co/YRdB0vyChx"
Fact,"@KemenkesRI gila si kalau wolbachia dijalankan dg baik di Indo, pasti ga ada lagi tuh yg namanya wabah dbd"
Fact,"@KemenkesRI pengen banget dbd bebas dan ga ada lagi dilingkungan sekitar gue, semoga wolbachia bisa bantuin biar generasi selanjutnya sehat dan bebas dari dbd"
Fact,"@KemenkesRI aku org asli jogja emang ngerasain si gmn dulu maraknya dbd sampe skrg udh jarang kedenger lagi wabah dbd, wolbachia fully recommended"
Fact,"@KemenkesRI Ayo gaes ,kita kudu menyerap informasi ini dengan baik ,ingat ,ini wolbachia bantuan kita terhindar dari DBD loh!"
Fact,"@KemenkesRI mindblowing! wolbachia ini kunci untuk ngubah paradigma dlm nanganin DBD, kita harus sama-sama dukung riset dan implementasinya buat ngelihat dampak positifnya"
Fact,"@KemenkesRI dari sisi lingkungan, ini program wolbachia tu bukan cuma ngeberhentiin DBD, tp juga nyiptain ekosistem yg seimbang, kerren juga ya"
Fact,"@KemenkesRI Suka bnget sama konten edukasi seperti ini, yuk kita gaskeun bareng-bareng berantas dbd dgn wolbachia"
Fact,"@KemenkesRI mantap sih program wolbachia ini, ini tuh ngebuktiin bahwa solusi alamiah bisa menjadi pilihan yang bijak, apalagi utk menekan wabah berbahaya seperti DBD"
Fact,@KemenkesRI menurutku nih ya inovasi wolbachia bisa ngebukain pintu baru utk pengendalian DBD. Yuk kita sama sama ngedukung lingkungan bebas DBD!
Fact,"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya"
Fact,@KemenkesRI Gue pernah baca berita tentang wolbachia ini di jogja dan ternyata emang bnar efektif bgt sampe nurunn kasus dbd 70% cuy!
Fact,"@KemenkesRI asliii, gw pikir-pikir wolbachia ini bisa jadi game changer dlm perang ngelawan DBD"
Fact,@KemenkesRI Cannot agree more! Wolbachia bisa jadi solusi efektif buat kita semua dalam mengatasi wabah dbd
Fact,"@KemenkesRI sudah waktunya generasi mendatang hidup bahagia tanpa DBD, semoga dg adanya program wolbachia can help us to save this world from DBD"
Fact,@KemenkesRI bagian kita terapin 3M bagian pemerintah kawal wolbachia biar aman dan DBD menghilang
Fact,"@KemenkesRI wah mantap, wolbachia solusi nyata dalam menghadapi DBD, aku pribadi dukung terus implementasinya!"
Fact,"@KemenkesRI DBD masih seberbahaya itu loh, yuk pada melek info kalo wolbachia bisa menangani DBD dg lebih efektif"
Fact,"@KemenkesRI serius sekeren itu loh wolbachia, menekan DBD dengan super duper efektif"
Fact,"@KemenkesRI Alhamdulillah, wolbachia bisa menyelamatkan generasi muda supaya kedepannya tidak ada DBD lagi"
Fact,Kebetulan baru visit ke puskesmas. Dan infonya memang program Wolbachia ini terasa bgt menurunkan  DBD. Semoga implementasinya semakin melias.
Fact,Teknologi wolbachia disebut efektif untuk menangani DBD. Bagaimana nasib intervensi lain seperti metode fogging? Begini kata Kemenkes. https://t.co/DsIl8yyf7x
Fact,Kemenkes Sebut Nyamuk Wolbachia Terbukti Efektif Perangi DBD https://t.co/2s0ZcZefnw #beritasatu #berita #news
Fact,"Ditentang oleh Beberapa Kelompok, Peneliti Jelaskan Bahwa Wolbachia Aman dan Bukan Rekayasa Genetik #Wolbachia #DBD #Dengue #UGM #Kemenkes https://t.co/SO50H6AMKF"
Fact,"Bagaimana hal tersebut dapat terjadi? Mari kita simak kesaksian Ratna Dewi, petugas surveilans Kelurahan Cokrodiningratan, Jetis, Kota Yogyakarta.  #stophoax #ugm #fkkmkugm #tropmed #tropmedugm #tropmedstory #arbovirus #dengue #wolbachia #DBD #DemamBerdarah #WolbachiaNyamukBaik https://t.co/IIYZPqtjgX"
Fact,Kenalan dengan Wolbachia: Si Bakteri Pengendali DBD https://t.co/YI80NhUjvz
Fact,"Meski nyamuk Wolbachia efektif untuk menekan kasus DBD, namun Dinas Kesehatan (Dinkes) Kota Surabaya belum menerapkannya di Kota Pahlawan. #publisherstory #beritaanaksurabaya https://t.co/arnr444FlP"
Fact,Dr dr I Made Sudarmaja MKes mengatakan metode atau teknologi Wolbachia untuk menekan kasus DBD itu aman bagi manusia dan lingkungan. https://t.co/njqyTFfLHG - Akademisi Udayana: Metode Wolbachia Aman bagi Manusia dan Lingkungan https://t.co/Qtd52UKrat
Fact,TVR 120-Komisi IX DPR RI: Wolbachia Terbukti Mampu Cegah Virus Demam Berdarah  Agenda pengembangbiakan nyamuk Wolbachia untuk menekan peredaran nyamuk DBD Aides Aigepti menuai kontroversi disebagian kalangan masyarakat.  #tvrparlemen #komisi9 #KunkerDPR  https://t.co/skyCDOVn9w
Fact,"Gak cuma di Indonesia, efektivitas dari nyamuk Wolbachia untuk menurunkan DBD juga udah dibuktikan di 13 negara, yakni:  Australia 🇦🇺 Colombia 🇨🇴 Brazil 🇧🇷 Sri Lanka 🇱🇰 El Salvador 🇸🇻 Honduras 🇭🇳 Vietnam 🇻🇳 Laos 🇱🇦 Kiribati 🇰🇮 Fiji 🇫🇯 New Caledonia 🇳🇨 Vanuatu 🇻🇺 dan Meksiko 🇲🇽"
Fact,"@KemenkesRI CARA KERJANYA GIMANA?  Nyamuk Wolbachia dilepas, lalu nyamuk betina akan kawin dengan nyamuk lain di lingkungan dan menghasilkan keturunan nyamuk wolbachia baru yang gak menularkan DBD. https://t.co/ucs2f4zyZr"
Fact,"Makanya nih guys, Kementerian Kesehatan Republik Indonesia @KemenkesRI menggunakan inovasi nyamuk wolbachia ini buat ngendaliin kasus DBD yang masih banyak terjadi di Indonesia."
Fact,APAAN TUH NYAMUK WOLBACHIA?  Nyamuk Wolbachia itu nyamuk yang mengandung bakteri Wolbachia di dalem tubuhnya 🦠  Nah ternyata bakteri Wolbachia ini bisa memblok replikasi virus dengue (penyebab DBD) di dalam tubuh nyamuk 🚫 https://t.co/SmJOUxV8nC
Fact,"Nyamuk Wolbachia udah berhasil nurunin kasus DBD di berbagai negara, termasuk di Indonesia🦟  Nyamuk??? Tapi nurunin kasus DBD???  Gimana caranya tuh? 🤔🤔🤔  Yuk kita bahas!   a thread 🧵 https://t.co/iBFE03i67n"
Fact,Benarkah Nyamuk Wolbachia Cegah DBD atau Hanya Senjata Depopulasi Manusia Buatan Bill Gates dan Elite Global? https://t.co/j2CWtFpysv
